СУБД;Конфигурация индексов;Код запроса;Запрос;Базовая медиана без индексов, мс;Медиана выбранной конфигурации, мс;Относительный эффект;Интерпретация
MongoDB;Все индексы;Q1;поиск по student_id;315.5135;0.6605000000000001;477.68887206661617;ускоряет
MongoDB;course+score;Q1;поиск по student_id;315.5135;312.7325;1.0088925839175655;почти не влияет
MongoDB;created_at;Q1;поиск по student_id;315.5135;303.314;1.0402206953849806;почти не влияет
MongoDB;status+date;Q1;поиск по student_id;315.5135;302.386;1.043413054837195;почти не влияет
MongoDB;status;Q1;поиск по student_id;315.5135;302.737;1.0422032985726888;почти не влияет
MongoDB;student_id;Q1;поиск по student_id;315.5135;0.686;459.9322157434402;ускоряет
MongoDB;Все индексы;Q2;фильтрация по диапазону created_at;385.236;11.4175;33.74083643529669;ускоряет
MongoDB;course+score;Q2;фильтрация по диапазону created_at;385.236;378.5105;1.017768331393713;почти не влияет
MongoDB;created_at;Q2;фильтрация по диапазону created_at;385.236;12.0085;32.08027647083316;ускоряет
MongoDB;status+date;Q2;фильтрация по диапазону created_at;385.236;368.6485;1.044995436031884;почти не влияет
MongoDB;status;Q2;фильтрация по диапазону created_at;385.236;369.594;1.04232211561876;почти не влияет
MongoDB;student_id;Q2;фильтрация по диапазону created_at;385.236;371.8875000000001;1.0358939195321164;почти не влияет
MongoDB;Все индексы;Q3;фильтрация по status;347.649;55.5735;6.2556614213609;ускоряет
MongoDB;course+score;Q3;фильтрация по status;347.649;342.81600000000003;1.0140979417530105;почти не влияет
MongoDB;created_at;Q3;фильтрация по status;347.649;337.0905;1.031322449015917;почти не влияет
MongoDB;status+date;Q3;фильтрация по status;347.649;57.5675;6.038980327441699;ускоряет
MongoDB;status;Q3;фильтрация по status;347.649;56.0835;6.198775040787397;ускоряет
MongoDB;student_id;Q3;фильтрация по status;347.649;336.543;1.0330002406824683;почти не влияет
MongoDB;Все индексы;Q4;фильтрация по status и created_at;411.9545;3.2425;127.04841942945258;ускоряет
MongoDB;course+score;Q4;фильтрация по status и created_at;411.9545;412.05;0.9997682320106784;почти не влияет
MongoDB;created_at;Q4;фильтрация по status и created_at;411.9545;121.9825;3.377160658291148;ускоряет
MongoDB;status+date;Q4;фильтрация по status и created_at;411.9545;3.2045000000000003;128.55500078015288;ускоряет
MongoDB;status;Q4;фильтрация по status и created_at;411.9545;318.0425;1.295281291022426;ускоряет
MongoDB;student_id;Q4;фильтрация по status и created_at;411.9545;406.235;1.014079289081443;почти не влияет
MongoDB;Все индексы;Q5;сортировка по created_at с LIMIT;457.0905;0.685;667.285401459854;ускоряет
MongoDB;course+score;Q5;сортировка по created_at с LIMIT;457.0905;438.97;1.0412795863043032;почти не влияет
MongoDB;created_at;Q5;сортировка по created_at с LIMIT;457.0905;0.6785000000000001;673.6779661016949;ускоряет
MongoDB;status+date;Q5;сортировка по created_at с LIMIT;457.0905;435.8965;1.0486216338052727;почти не влияет
MongoDB;status;Q5;сортировка по created_at с LIMIT;457.0905;439.777;1.0393688164683466;почти не влияет
MongoDB;student_id;Q5;сортировка по created_at с LIMIT;457.0905;445.016;1.0271327323062542;почти не влияет
MongoDB;Все индексы;Q6;агрегация по course_id;564.3815;415.98;1.3567515265156975;ускоряет
MongoDB;course+score;Q6;агрегация по course_id;564.3815;518.8634999999999;1.0877263480664954;почти не влияет
MongoDB;created_at;Q6;агрегация по course_id;564.3815;527.8595;1.0691888655977584;почти не влияет
MongoDB;status+date;Q6;агрегация по course_id;564.3815;775.5975000000001;0.727673180999165;замедляет
MongoDB;status;Q6;агрегация по course_id;564.3815;417.505;1.3517957868768038;ускоряет
MongoDB;student_id;Q6;агрегация по course_id;564.3815;537.4465;1.0501166162585485;почти не влияет
MongoDB;Все индексы;Q7;широкий диапазон score;449.3735;438.574;1.0246241227250137;почти не влияет
MongoDB;course+score;Q7;широкий диапазон score;449.3735;440.9225;1.0191666335920713;почти не влияет
MongoDB;created_at;Q7;широкий диапазон score;449.3735;438.7555;1.0242002664354066;почти не влияет
MongoDB;status+date;Q7;широкий диапазон score;449.3735;437.0775;1.02813231063141;почти не влияет
MongoDB;status;Q7;широкий диапазон score;449.3735;436.8565;1.0286524293446475;почти не влияет
MongoDB;student_id;Q7;широкий диапазон score;449.3735;440.762;1.0195377550696294;почти не влияет
MySQL;Все индексы;Q1;поиск по student_id;124.6115;15.448;8.066513464526153;ускоряет
MySQL;course+score;Q1;поиск по student_id;124.6115;125.522;0.9927462914867514;почти не влияет
MySQL;created_at;Q1;поиск по student_id;124.6115;124.0865;1.0042309195601455;почти не влияет
MySQL;status+date;Q1;поиск по student_id;124.6115;124.5835;1.0002247488632123;почти не влияет
MySQL;status;Q1;поиск по student_id;124.6115;124.3755;1.0018974798091265;почти не влияет
MySQL;student_id;Q1;поиск по student_id;124.6115;15.3945;8.094546753710741;ускоряет
MySQL;Все индексы;Q2;фильтрация по диапазону created_at;154.89100000000002;31.0655;4.985949043150763;ускоряет
MySQL;course+score;Q2;фильтрация по диапазону created_at;154.89100000000002;155.5395;0.99583064109117;почти не влияет
MySQL;created_at;Q2;фильтрация по диапазону created_at;154.89100000000002;30.864;5.018500518403318;ускоряет
MySQL;status+date;Q2;фильтрация по диапазону created_at;154.89100000000002;30.9145;5.010302608808165;ускоряет
MySQL;status;Q2;фильтрация по диапазону created_at;154.89100000000002;155.692;0.9948552269866148;почти не влияет
MySQL;student_id;Q2;фильтрация по диапазону created_at;154.89100000000002;155.4835;0.9961893062607932;почти не влияет
MySQL;Все индексы;Q3;фильтрация по status;155.457;62.017;2.506683651256913;ускоряет
MySQL;course+score;Q3;фильтрация по status;155.457;156.50150000000002;0.9933259425628508;почти не влияет
MySQL;created_at;Q3;фильтрация по status;155.457;155.3885;1.0004408305633945;почти не влияет
MySQL;status+date;Q3;фильтрация по status;155.457;61.8365;2.5140006306954628;ускоряет
MySQL;status;Q3;фильтрация по status;155.457;61.5025;2.527653347424901;ускоряет
MySQL;student_id;Q3;фильтрация по status;155.457;155.737;0.9982020971252816;почти не влияет
MySQL;Все индексы;Q4;фильтрация по status и created_at;186.727;31.0375;6.016173983084977;ускоряет
MySQL;course+score;Q4;фильтрация по status и created_at;186.727;188.714;0.9894708394713692;почти не влияет
MySQL;created_at;Q4;фильтрация по status и created_at;186.727;115.156;1.6215134252665946;ускоряет
MySQL;status+date;Q4;фильтрация по status и created_at;186.727;30.767;6.069067507394285;ускоряет
MySQL;status;Q4;фильтрация по status и created_at;186.727;253.7695;0.7358134054722888;замедляет
MySQL;student_id;Q4;фильтрация по status и created_at;186.727;186.485;1.0012976915033378;почти не влияет
MySQL;Все индексы;Q5;сортировка по created_at с LIMIT;247.6075;16.195999999999998;15.28818844159052;ускоряет
MySQL;course+score;Q5;сортировка по created_at с LIMIT;247.6075;248.722;0.9955190936065168;почти не влияет
MySQL;created_at;Q5;сортировка по created_at с LIMIT;247.6075;15.508;15.966436677843696;ускоряет
MySQL;status+date;Q5;сортировка по created_at с LIMIT;247.6075;246.3915;1.0049352351846554;почти не влияет
MySQL;status;Q5;сортировка по created_at с LIMIT;247.6075;248.911;0.9947631884488832;почти не влияет
MySQL;student_id;Q5;сортировка по created_at с LIMIT;247.6075;243.671;1.0161549794600098;почти не влияет
MySQL;Все индексы;Q6;агрегация по course_id;268.4225;305.214;0.8794567090631492;замедляет
MySQL;course+score;Q6;агрегация по course_id;268.4225;2254.929;0.1190381160559822;замедляет
MySQL;created_at;Q6;агрегация по course_id;268.4225;263.95500000000004;1.0169252334678258;почти не влияет
MySQL;status+date;Q6;агрегация по course_id;268.4225;649.829;0.4130663605348484;замедляет
MySQL;status;Q6;агрегация по course_id;268.4225;313.778;0.8554535372142088;замедляет
MySQL;student_id;Q6;агрегация по course_id;268.4225;257.408;1.042790045375435;почти не влияет
MySQL;Все индексы;Q7;широкий диапазон score;139.969;157.2995;0.8898248246180057;замедляет
MySQL;course+score;Q7;широкий диапазон score;139.969;155.7125;0.8988937946536083;замедляет
MySQL;created_at;Q7;широкий диапазон score;139.969;139.95800000000003;1.0000785950070734;почти не влияет
MySQL;status+date;Q7;широкий диапазон score;139.969;140.575;0.9956891339142808;почти не влияет
MySQL;status;Q7;широкий диапазон score;139.969;140.26749999999998;0.9978719232894292;почти не влияет
MySQL;student_id;Q7;широкий диапазон score;139.969;139.983;0.999899987855668;почти не влияет
PostgreSQL;Все индексы;Q1;поиск по student_id;93.165;30.913;3.0137806100993108;ускоряет
PostgreSQL;course+score;Q1;поиск по student_id;93.165;80.8075;1.1529251616495992;ускоряет
PostgreSQL;created_at;Q1;поиск по student_id;93.165;92.3505;1.0088196598827293;почти не влияет
PostgreSQL;status+date;Q1;поиск по student_id;93.165;80.94749999999999;1.150931159084592;ускоряет
PostgreSQL;status;Q1;поиск по student_id;93.165;82.0445;1.1355422971680005;ускоряет
PostgreSQL;student_id;Q1;поиск по student_id;93.165;30.993;3.0060013551447096;ускоряет
PostgreSQL;Все индексы;Q2;фильтрация по диапазону created_at;109.5805;30.9475;3.540851441958155;ускоряет
PostgreSQL;course+score;Q2;фильтрация по диапазону created_at;109.5805;108.483;1.010116792492833;почти не влияет
PostgreSQL;created_at;Q2;фильтрация по диапазону created_at;109.5805;30.7945;3.558443877965221;ускоряет
PostgreSQL;status+date;Q2;фильтрация по диапазону created_at;109.5805;62.252;1.7602727623208894;ускоряет
PostgreSQL;status;Q2;фильтрация по диапазону created_at;109.5805;108.641;1.0086477480877385;почти не влияет
PostgreSQL;student_id;Q2;фильтрация по диапазону created_at;109.5805;108.9115;1.0061426020209068;почти не влияет
PostgreSQL;Все индексы;Q3;фильтрация по status;109.6135;46.5585;2.354317686351579;ускоряет
PostgreSQL;course+score;Q3;фильтрация по status;109.6135;108.8915;1.0066304532493353;почти не влияет
PostgreSQL;created_at;Q3;фильтрация по status;109.6135;108.7545;1.0078985237392477;почти не влияет
PostgreSQL;status+date;Q3;фильтрация по status;109.6135;46.525;2.356012896292316;ускоряет
PostgreSQL;status;Q3;фильтрация по status;109.6135;46.3965;2.362538122487688;ускоряет
PostgreSQL;student_id;Q3;фильтрация по status;109.6135;109.1745;1.0040210855098948;почти не влияет
PostgreSQL;Все индексы;Q4;фильтрация по status и created_at;109.2685;30.763;3.5519455189675915;ускоряет
PostgreSQL;course+score;Q4;фильтрация по status и created_at;109.2685;108.747;1.00479553458946;почти не влияет
PostgreSQL;created_at;Q4;фильтрация по status и created_at;109.2685;60.678;1.8007927090543523;ускоряет
PostgreSQL;status+date;Q4;фильтрация по status и created_at;109.2685;30.9735;3.527806027733385;ускоряет
PostgreSQL;status;Q4;фильтрация по status и created_at;109.2685;93.643;1.166862445671326;ускоряет
PostgreSQL;student_id;Q4;фильтрация по status и created_at;109.2685;109.496;0.9979222985314532;почти не влияет
PostgreSQL;Все индексы;Q5;сортировка по created_at с LIMIT;190.7685;30.7855;6.196699745009826;ускоряет
PostgreSQL;course+score;Q5;сортировка по created_at с LIMIT;190.7685;187.2215;1.0189454736769017;почти не влияет
PostgreSQL;created_at;Q5;сортировка по created_at с LIMIT;190.7685;30.8835;6.177036281509544;ускоряет
PostgreSQL;status+date;Q5;сортировка по created_at с LIMIT;190.7685;187.215;1.0189808508933578;почти не влияет
PostgreSQL;status;Q5;сортировка по created_at с LIMIT;190.7685;187.064;1.0198033827994697;почти не влияет
PostgreSQL;student_id;Q5;сортировка по created_at с LIMIT;190.7685;194.3845;0.9813976937461576;почти не влияет
PostgreSQL;Все индексы;Q6;агрегация по course_id;141.0875;124.926;1.1293685862030325;ускоряет
PostgreSQL;course+score;Q6;агрегация по course_id;141.0875;139.3665;1.012348735169499;почти не влияет
PostgreSQL;created_at;Q6;агрегация по course_id;141.0875;139.7045;1.0098994663736671;почти не влияет
PostgreSQL;status+date;Q6;агрегация по course_id;141.0875;124.9345;1.1292917488764114;ускоряет
PostgreSQL;status;Q6;агрегация по course_id;141.0875;124.729;1.131152338269368;ускоряет
PostgreSQL;student_id;Q6;агрегация по course_id;141.0875;141.952;0.9939099132100992;почти не влияет
PostgreSQL;Все индексы;Q7;широкий диапазон score;123.702;77.922;1.5875105875105875;ускоряет
PostgreSQL;course+score;Q7;широкий диапазон score;123.702;78.14099999999999;1.5830613890275274;ускоряет
PostgreSQL;created_at;Q7;широкий диапазон score;123.702;110.54;1.1190700199022978;ускоряет
PostgreSQL;status+date;Q7;широкий диапазон score;123.702;110.7675;1.1167716162231702;ускоряет
PostgreSQL;status;Q7;широкий диапазон score;123.702;117.1175;1.056221316199543;почти не влияет
PostgreSQL;student_id;Q7;широкий диапазон score;123.702;124.067;0.9970580412196636;почти не влияет
